"AKARI 部品表(購入品)",,,,,,,,,
,,,,,,,,,
"No.","分類","画像","名称","型番","必要数","購入個数","購入先","リンク","備考"
1,"製造品",,"M5stack基板",,1,1,,,
2,"製造品",,"AKARI_v0.6_Head",,1,1,,,
3,"製造品",,"AKARI_v0.6_Body",,1,1,,,
4,"製造品",,"AKARI_v0.6_Cover",,1,1,,,
5,"製造品",,"AKARI_v0.6_Base",,1,1,,,
6,"製造品",,"AKARI_v0.6_Plate",,1,1,,,
7,"購入品",,"Lattepanda Alpha 864S","DFR0546",1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gM-13736/",
8,"購入品",,"M5Stack BASIC","M5Stack BASIC",1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gM-16008/",
9,"購入品",,"温湿度気圧センサユニット ENVⅢ","M5STACK-U001-C",1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gM-17213/",
10,"購入品",,"光センサユニット","M5STACK-LIGHT-UNIT",1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gM-17217/",
11,"購入品",,"XHコネクタ 2P トップ型","B2B-XH-A(LF)(SN)",2,2,"秋月電子","https://akizukidenshi.com/catalog/g/gC-12247/",
12,"購入品",,"XHコネクタ 3P トップ型","B3B-XH-A(LF)(SN)",1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gC-12248/",
13,"購入品",,"EHコネクタ 3P トップ","B3B-EH-A",2,2,,,
13,"購入品",,"２ｍｍピッチピンヘッダ　１×３　（３Ｐ）","PH2-1x3SBG",2,2,"秋月電子","https://akizukidenshi.com/catalog/g/gC-06192/",
14,"購入品",,"ボックスヘッダ　２０Ｐ","BH-20SG",1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gC-13176/",
15,"購入品",,"超高効率ＤＣ－ＤＣコンバーター　５Ｖ１Ａ","M78AR05-1",1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gM-13536/",
16,"購入品",,"積層セラミックコンデンサー　１０μＦ５０Ｖ","RDEC71H106K3K1H03B",2,2,"秋月電子","https://akizukidenshi.com/catalog/g/gP-08155/",
17,"購入品",,"2x10(20P)両端コネクタ付ＩＤＣリボンケーブル","DG01032-0041-01-180mm",1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gC-13378/",
18,"購入品",,"コネクタ付コード ４Ｐ 赤黒黄緑","DG01032-0049-01",2,2,"秋月電子","https://akizukidenshi.com/catalog/g/gC-15554/",
19,"購入品",,"コネクタ付コード２Ｐ（Ｄ） XH",,2,2,"秋月電子","https://akizukidenshi.com/catalog/g/gC-05682/",
20,"購入品",,"２．１ｍｍ標準ＤＣジャック　パネル取付用","C-17108",2,2,"秋月電子","https://akizukidenshi.com/catalog/g/gC-17108/",
21,"購入品",,"コネクタ付コード２Ｐ（Ａ）　（赤白）",,1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gC-05679/",
22,"購入品",,"６５Ｗ級スイッチングＡＣアダプター１２Ｖ５Ａ","ATS065-P120",1,1,"秋月電子","https://akizukidenshi.com/catalog/g/gM-06961/",
23,"購入品",,"OAK-D-LITE OpenCV DepthAIカメラ","OAK-D-LITE",1,1,"スイッチサイエンス","https://www.switch-science.com/catalog/7651/",
24,"購入品",,"M5Stack用2x15ピンヘッダ・ソケットセット",,1,1,"スイッチサイエンス","https://www.switch-science.com/catalog/3654/",
25,"購入品",,"Groveコネクタ トップ型",,2,2,"スイッチサイエンス","https://www.switch-science.com/catalog/1122/",
26,"購入品",,"Dynamixel 2XL430-W250-T","BTX079",1,1,"ベストテクノロジー","https://www.besttechnology.co.jp/modules/onlineshop/index.php?fct=photo&p=262",
27,"購入品",,"HN11-I101 Set","BTX098",1,1,"ベストテクノロジー","https://www.besttechnology.co.jp/modules/onlineshop/index.php?fct=photo&p=204",
28,"購入品",,"BTE080C USB2TTL dongle","BTE080C",1,1,"ベストテクノロジー","https://www.besttechnology.co.jp/modules/onlineshop/index.php?fct=photo&p=268",
29,"購入品",,"エレコム USBハブ 3.0 4ポート 15cm","U3H-FC02BBK",1,1,"Amazon","www.amazon.co.jp/dp/B07CMF41B5",
30,"購入品",,"パネルマウントUSB3.0ケーブル 30cm",,1,1,"Amazon","https://www.amazon.co.jp/dp/B08LPBS15D?th=1",
31,"購入品",,"USB Type C L字 ケーブル 0.3m",,1,1,"Amazon","www.amazon.co.jp/dp/B07CYQG6HR",
32,"購入品",,"UGREEN usb c ケーブル L字 0.5M USB 3.0",,1,1,"Amazon","www.amazon.co.jp/dp/B08RMFTGHZ",
33,"購入品",,"XHコネクタ 配線 3P",,1,1,"Amazon","www.amazon.co.jp/dp/B011HFRYNW",
34,"購入品",,"5.5 x 2.1mm Lタイプジャック ",,1,1,"Amazon","www.amazon.co.jp/dp/B09S3JVLXS",
35,"購入品",,"ロッカスイッチ",,1,1,"Amazon","www.amazon.co.jp/dp/B00HUHBP8C",
36,"購入品",,"Andux Space モーメンタリ 防水 押しボタンスイッチ ミニ 5個セット JSANKG-01 (装着直径12mm)","JSANKG-01",1,1,"Amazon","https://www.amazon.co.jp/dp/B076KBJVH3",
37,"購入品",,"ボルトM3-6 (USBパネルマウント用）60個セット",,4,1,"Amazon","https://www.amazon.co.jp/dp/B012TE12CY",
39,"購入品",,"ボルトM4-5 (OAK-D締結用）20個セット",,2,1,"Amazon","https://www.amazon.co.jp/dp/B07MZQTTTV",
40,"購入品",,"M2.5-6 タッピングビス",,6,1,"Amazon","https://www.amazon.co.jp/dp/B076ZF94HR",
41,"購入品",,"Micro SDカード",,1,1,"Amazon","www.amazon.co.jp/dp/B00VQOEWYO",
42,"購入品",,"磁石角型　20x10x3",,2,1,"Amazon","www.amazon.co.jp/dp/B08LK9669N",
43,"購入品",,"3M スコッチ はがせる両面テープ 強力 薄手 19mm×15m ","SRE-19",1,1,"Amazon","https://www.amazon.co.jp/3M-%E3%82%B9%E3%82%B3%E3%83%83%E3%83%81-%E3%81%AF%E3%81%8C%E3%81%9B%E3%82%8B%E4%B8%A1%E9%9D%A2%E3%83%86%E3%83%BC%E3%83%97-19mm%C3%9715m-SRE-19/dp/B00BPJKM4E/ref=sr_1_18?crid=1ER67T5X4FDJI&keywords=%E4%B8%A1%E9%9D%A2%E3%83%86%E3%83%BC%E3%83%97+3M&qid=1658801970&sprefix=%E4%B8%A1%E9%9D%A2%E3%83%86%E3%83%BC%E3%83%97+3%2Caps%2C258&sr=8-18",
,,,,,,,,,
,"購入品",,"3Dプリンタフィラメント(500g)黒",,1,1,"Flashforge","https://flashforge.shop-pro.jp/?pid=155471266",
,"購入品",,"3Dプリンタフィラメント(500g)白",,1,1,"Flashforge","https://flashforge.shop-pro.jp/?pid=155471255",
